value,variable,year,country,continent,mean_GDPPP,change_bii,change_gdp
0.743012249469757,bii,1970,China,Asia,709.068781,0,0
0.363551825284958,bii,1970,Bangladesh,Asia,645.0554293499999,0,0
0.637515723705292,bii,1970,India,Asia,768.684925,0,0
1,bii,1970,Kuwait,Asia,84306.67207,0,0
0.6242396235466,bii,1970,Lebanon,Asia,8073.0405885,0,0
0.488326460123062,bii,1970,Montenegro,Europe,8687.171961,0,0
0.682000875473022,bii,1970,Bulgaria,Europe,7104.867418,0,0
0.348869621753693,bii,1970,Ireland,Europe,10340.877013000001,0,0
NA,NA,1970,Bolivia,Americas,3264.2145855,NA,0
NA,NA,1970,"Congo, Dem. Rep.",Africa,850.32667525,NA,0
NA,NA,1970,"Congo, Rep.",Africa,3236.1658305,NA,0
NA,NA,1970,Cote d'Ivoire,Africa,2447.968829,NA,0
NA,NA,1970,Czech Republic,Europe,13954.307110000002,NA,0
NA,NA,1970,"Hong Kong, China",Asia,9751.0346975,NA,0
NA,NA,1970,Iran,Asia,10751.2068435,NA,0
NA,NA,1970,"Korea, Dem. Rep.",Asia,3903.961376,NA,0
NA,NA,1970,"Korea, Rep.",Asia,3844.048835,NA,0
NA,NA,1970,Reunion,Africa,4683.731315,NA,0
NA,NA,1970,Slovak Republic,Europe,10298.415833,NA,0
NA,NA,1970,Swaziland,Africa,3573.1236215,NA,0
NA,NA,1970,Syria,Asia,2883.453798,NA,0
NA,NA,1970,Taiwan,Asia,4829.521861499999,NA,0
NA,NA,1970,Tanzania,Africa,939.2386762,NA,0
NA,NA,1970,United Kingdom,Europe,16661.932435,NA,0
NA,NA,1970,United States,Americas,22939.334035,NA,0
NA,NA,1970,Venezuela,Americas,11824.605305000001,NA,0
NA,NA,1970,Vietnam,Asia,706.51938185,NA,0
NA,NA,1970,West Bank and Gaza,Asia,3408.1203855000003,NA,0
NA,NA,1970,"Yemen, Rep.",Asia,1547.4061040000001,NA,0
0.998494625091553,bii,1980,Libya,Africa,14567.43259,-0.15053749084470436,-32.18568875546397
0.772305727005005,bii,1980,Morocco,Africa,2728.8336735000003,-4.182499270857221,26.898446205666573
0.929442703723907,bii,1980,Burkina Faso,Africa,859.6308636,-1.463650906140566,7.5800619293391
0.696926176548004,bii,1980,Ghana,Africa,861.51934125,-3.5642242278733014,-20.65023209202464
0.731067061424255,bii,1980,Gambia,Africa,723.73423595,-2.778153190197525,-11.785022863080673
0.764573454856873,bii,1980,Liberia,Africa,539.15671335,-0.28353016471605336,-25.289781149090384
0.904307067394257,bii,1980,Niger,Africa,789.0110791,-0.6609050545309367,-10.497617185345943
0.739865601062775,bii,1980,Sierra Leone,Africa,1379.729286,-1.6570384003785805,2.1248222245969206
0.786867558956146,bii,1980,Ethiopia,Africa,575.80103065,-0.5899789868745047,2.542155249436319
0.557510077953339,bii,1980,Rwanda,Africa,864.78093185,-14.053013585708788,37.19481290140179
0.722626030445099,bii,1980,Somalia,Africa,1135.0259970000002,1.4522377996720317,-16.097046645247914
0.689428269863129,bii,1980,Uganda,Africa,649.99531665,-6.569330389222271,-27.555693143294597
0.898082375526428,bii,1980,Zambia,Africa,1310.9968405,-0.2468650299478353,-22.015223394367233
0.827529311180115,bii,1980,Botswana,Africa,5378.513,-0.04290261265312945,96.35095377045393
0.571350395679474,bii,1980,Lesotho,Africa,785.62816075,2.4897223401309945,26.515148603676984
0.687921702861786,bii,1980,Australia,Oceania,20682.949155,-0.7113326738412453,17.77496817604543
0.935937941074371,bii,1980,Peru,Americas,6397.722620500001,-0.3202651654136031,4.716601447756634
0.728664994239807,bii,1980,Guatemala,Americas,4533.490382,-2.7284865716844062,1.74585056455533
0.816096603870392,bii,1980,Panama,Americas,7022.1903795,-2.235418082689219,31.05793857858644
0.647017598152161,bii,1980,Cuba,Americas,7424.921435,-9.877179822571366,27.074438067410465
0.797291398048401,bii,1980,Trinidad and Tobago,Americas,8254.063215,-0.3629036763364009,13.699334194278368
0.843554675579071,bii,1980,Cambodia,Asia,654.1855258,1.7187797712975126,38.21849689429917
1,bii,1980,Iraq,Asia,13080.739894999999,0,7.8189325932626605
0.846677303314209,bii,1980,Saudi Arabia,Asia,27445.718305000002,0.09752627149166532,-6.971852057169629
0.768451035022736,bii,1980,Turkey,Europe,4665.200015,-1.0104749097708934,20.862942322055105
0.717310190200806,bii,1980,Slovenia,Europe,18272.628335,1.0075009882974781,32.120659575380174
0.401370823383331,bii,1980,Denmark,Europe,23402.108145,1.774271420777988,19.127712047301358
0.963785886764526,bii,1980,Algeria,Africa,5713.259376,-0.2955558833206526,25.661691044684225
0.768516182899475,bii,1980,Tunisia,Africa,3685.326235,-0.33068856178118133,25.47579484392585
0.868873655796051,bii,1980,Mauritania,Africa,1451.3768825,2.6747608439806023,-5.887483327556874
0.825194537639618,bii,1980,Senegal,Africa,1480.100352,-0.4736829921990105,-6.3073795079415635
0.489821910858154,bii,1980,Burundi,Africa,590.71102495,-10.655375274477892,15.802670390517246
0.851127684116364,bii,1980,Comoros,Africa,1291.5404475,-2.5975349447396643,-16.94756266963962
0.701820552349091,bii,1980,Mozambique,Africa,426.04379975,-0.04919191979206588,-30.568649202703728
0.803118824958801,bii,1980,Malawi,Africa,634.1606421500001,-2.8155095624761075,1.6408789693679087
0.941885769367218,bii,1980,Central African Republic,Africa,900.8146705500001,0.2310508433637921,-17.333230199468872
0.77203232049942,bii,1980,Argentina,Americas,9068.7844005,-0.031528240582220854,-7.091956952993401
0.36011677980423,bii,1980,Uruguay,Americas,7186.311009999999,-2.0219846405742476,17.73360131217072
0.648314476013184,bii,1980,Costa Rica,Americas,5446.3250345,-10.457632130600368,-1.3795700063376666
0.774930894374847,bii,1980,Mexico,Americas,9149.651772000001,-0.9998486196980009,26.338575680679632
0.627800941467285,bii,1980,Dominican Republic,Americas,2880.4672805,-7.536395727208255,18.249098736686484
0.530606389045715,bii,1980,Haiti,Americas,1917.0877719999999,2.3947713218199405,8.655165663079382
0.473904132843018,bii,1980,Mongolia,Asia,2169.3057215,3.079327523004293,41.357214224888885
0.874726533889771,bii,1980,Malaysia,Asia,5085.079302,-1.5405997838055634,52.315915812859146
0.6281977891922,bii,1980,Bosnia and Herzegovina,Europe,4220.363957,0.956100125320929,32.1206596092608
0.781891345977783,bii,1980,Croatia,Europe,13522.20289,0.9421630729541213,32.12065960461441
0.560944974422455,bii,1980,Italy,Europe,17872.35916,10.011957294142375,34.75728532324318
0.501592516899109,bii,1980,Montenegro,Europe,11477.548895,2.716636893422451,32.120659594711114
0.728285610675812,bii,1980,Portugal,Europe,12396.575835,-0.9490520868857927,29.166430671590927
0.594222247600555,bii,1980,Romania,Europe,9650.793674,-0.06137025278992423,11.134250796016321
0.803396463394165,bii,1980,Iceland,Europe,25096.40689,-0.03508736278673723,41.57554182422118
1,bii,1980,Egypt,Africa,3694.5951729999997,0,53.637336305446624
0.80455207824707,bii,1980,Sudan,Africa,1701.6816159999998,0.023875647447198375,-11.890257014754704
0.979328989982605,bii,1980,Benin,Africa,1251.8768129999999,-1.2849812157802625,18.383129693446918
0.708989381790161,bii,1980,Guinea-Bissau,Africa,787.2696796,-0.9148257889208302,-0.656877982557395
